,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude,City,State
950,Juicy Bits - Double Dry-Hopped With Galaxy,55,4.34,WeldWerks Brewing Co.,New England IPA,6.70%,mountain,40.428113,-104.69051340000001,Greeley,CO
951,Extra Extra Juicy Bits,60,4.35,WeldWerks Brewing Co.,American Imperial IPA,8.40%,mountain,40.428113,-104.69051340000001,Greeley,CO
952,Juicy Bits,325,4.32,WeldWerks Brewing Co.,New England IPA,6.70%,mountain,40.428113,-104.69051340000001,Greeley,CO
953,Medianoche - Vanilla,29,4.46,WeldWerks Brewing Co.,American Imperial Stout,14.10%,mountain,40.428113,-104.69051340000001,Greeley,CO
954,Peach Climacteric,44,4.47,WeldWerks Brewing Co.,American Wild Ale,7.10%,mountain,40.428113,-104.69051340000001,Greeley,CO
955,Juicy Bits - Double Dry-Hopped,73,4.39,WeldWerks Brewing Co.,New England IPA,6.70%,mountain,40.428113,-104.69051340000001,Greeley,CO
956,Snakes In A Barrel,42,4.29,West Sixth Brewing Company,American Imperial Stout,11.00%,south,38.059307000000004,-84.491991,Lexington,KY
957,Snake Cake,37,4.47,West Sixth Brewing Company,American Imperial Stout,13.00%,south,38.059307000000004,-84.491991,Lexington,KY
958,Mexican Coffee Cake,307,4.44,Westbrook Brewing Co.,American Imperial Stout,10.50%,south-atlantic,32.8466697,-79.87679990000001,Mount Pleasant,SC
959,Mexican Cake - Tequila Barrel-Aged,294,4.41,Westbrook Brewing Co.,American Imperial Stout,10.50%,south-atlantic,32.8466697,-79.87679990000001,Mount Pleasant,SC
960,Mexican Cake - Maple Bourbon Barrel-Aged,120,4.63,Westbrook Brewing Co.,American Imperial Stout,10.20%,south-atlantic,32.8466697,-79.87679990000001,Mount Pleasant,SC
961,Mexican Cake,"2,933",4.4,Westbrook Brewing Co.,American Imperial Stout,10.50%,south-atlantic,32.8466697,-79.87679990000001,Mount Pleasant,SC
962,Golden Angel,237,4.36,Wicked Weed Brewing,American Wild Ale,7.00%,south-atlantic,35.591694,-82.55103249999998,Asheville,NC
963,Framboos Morte,133,4.4,Wicked Weed Brewing,American Wild Ale,6.60%,south-atlantic,35.591694,-82.55103249999998,Asheville,NC
964,Red Angel,298,4.45,Wicked Weed Brewing,American Wild Ale,7.00%,south-atlantic,35.591694,-82.55103249999998,Asheville,NC
965,Angel Of Darkness,166,4.4,Wicked Weed Brewing,American Wild Ale,11.00%,south-atlantic,35.591694,-82.55103249999998,Asheville,NC
966,Nut Smasher,365,4.44,Willoughby Brewing,American Imperial Stout,11.00%,great-lakes,41.6398,-81.4065,Willoughby,OH
967,Astronaut Status,178,4.38,Wiseacre Brewing,American Imperial Stout,12.20%,south,35.14718149999999,-89.96874919999998,Memphis,TN
968,Heavy Hitter,13,4.33,Yalobusha Brewing Company,American Amber / Red Ale,8.00%,south,34.14945720000001,-89.63308070000001,Water Valley,MS
969,Testify,59,4.16,Yalobusha Brewing Company,English Sweet / Milk Stout,9.00%,south,34.14945720000001,-89.63308070000001,Water Valley,MS
970,Embrace The Funk - Deux Rouges,106,4.26,Yazoo Brewing Company,Flanders Red Ale,6.20%,south,36.1510224,-86.78217679999999,Nashville-Davidson,TN
971,Embrace The Funk - Lovin On Peaches,11,4.43,Yazoo Brewing Company,American Wild Ale,6.00%,south,36.1510224,-86.78217679999999,Nashville-Davidson,TN
972,Embrace The Funk - Foeder Beer #1,20,4.28,Yazoo Brewing Company,American Wild Ale,5.90%,south,36.1510224,-86.78217679999999,Nashville-Davidson,TN
973,Embrace The Funk - Cherry Deux Rouges,46,4.24,Yazoo Brewing Company,Flanders Red Ale,6.20%,south,36.1510224,-86.78217679999999,Nashville-Davidson,TN
974,Embrace The Funk - Cassis Deux Rouges,13,4.38,Yazoo Brewing Company,Flanders Red Ale,6.20%,south,36.1510224,-86.78217679999999,Nashville-Davidson,TN
975,Embrace The Funk - Deux Rouges Grand Cru,11,4.4,Yazoo Brewing Company,Flanders Red Ale,6.20%,south,36.1510224,-86.78217679999999,Nashville-Davidson,TN
976,Sue,872,4.12,Yazoo Brewing Company,American Imperial Porter,9.00%,south,36.1510224,-86.78217679999999,Nashville-Davidson,TN
977,The Vigne,27,4.44,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
978,Nectarine Premiere,335,4.64,de Garde Brewing,Belgian Saison,7.10%,northwest,45.4572866,-123.8453827,Tillamook,OR
979,The Broken Truck,294,4.6,de Garde Brewing,American Wild Ale,5.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
980,The Peach,255,4.58,de Garde Brewing,American Wild Ale,7.30%,northwest,45.4572866,-123.8453827,Tillamook,OR
981,The Lily,192,4.49,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
982,The Lucy,155,4.46,de Garde Brewing,American Wild Ale,8.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
983,de Garde / SARA / Jester King - Elements Of Composition,57,4.49,de Garde Brewing,American Wild Ale,6.20%,northwest,45.4572866,-123.8453827,Tillamook,OR
984,Special Rouge,197,4.41,de Garde Brewing,American Wild Ale,6.40%,northwest,45.4572866,-123.8453827,Tillamook,OR
985,Framiscus,67,4.46,de Garde Brewing,American Wild Ale,6.20%,northwest,45.4572866,-123.8453827,Tillamook,OR
986,The Archer,170,4.41,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
987,Citra Hose,135,4.4,de Garde Brewing,Leipzig Gose,4.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
988,Nelson Hose,180,4.39,de Garde Brewing,Leipzig Gose,5.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
989,The Truffle,51,4.45,de Garde Brewing,American Wild Ale,5.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
990,The Duo,51,4.43,de Garde Brewing,American Wild Ale,6.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
991,The Orchard,24,4.53,de Garde Brewing,American Wild Ale,6.40%,northwest,45.4572866,-123.8453827,Tillamook,OR
992,The Boysenberry,88,4.38,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
993,Roseberry,73,4.36,de Garde Brewing,American Wild Ale,6.20%,northwest,45.4572866,-123.8453827,Tillamook,OR
994,Special Violet,55,4.38,de Garde Brewing,American Wild Ale,6.40%,northwest,45.4572866,-123.8453827,Tillamook,OR
995,The Kriek,44,4.39,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
996,Lee Kriek,95,4.33,de Garde Brewing,American Wild Ale,8.40%,northwest,45.4572866,-123.8453827,Tillamook,OR
997,The Bluest,29,4.43,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
998,Cran Bu,129,4.29,de Garde Brewing,Berliner Weisse,2.30%,northwest,45.4572866,-123.8453827,Tillamook,OR
999,Hose,382,4.38,de Garde Brewing,Leipzig Gose,4.00%,northwest,45.4572866,-123.8453827,Tillamook,OR
